row_count,gb_char,utf_bytes,unicode_id,unknown
2289,儿,B6F9,513F,E584BF
2290,耳,B6FA,8033,E880B3
2291,尔,B6FB,5C14,E5B094
2292,饵,B6FC,9975,E9A5B5
2293,洱,B6FD,6D31,E6B4B1
2294,二,B6FE,4E8C,E4BA8C
2301,贰,B7A1,8D30,E8B4B0
2302,发,B7A2,53D1,E58F91
2303,罚,B7A3,7F5A,E7BD9A
2304,筏,B7A4,7B4F,E7AD8F
2305,伐,B7A5,4F10,E4BC90
2306,乏,B7A6,4E4F,E4B98F
2307,阀,B7A7,9600,E99880
2308,法,B7A8,6CD5,E6B395
2309,珐,B7A9,73D0,E78F90
2310,藩,B7AA,85E9,E897A9
2311,帆,B7AB,5E06,E5B886
2312,番,B7AC,756A,E795AA
2313,翻,B7AD,7FFB,E7BFBB
2314,樊,B7AE,6A0A,E6A88A
2315,矾,B7AF,77FE,E79FBE
2316,钒,B7B0,9492,E99292
2317,繁,B7B1,7E41,E7B981
2318,凡,B7B2,51E1,E587A1
2319,烦,B7B3,70E6,E783A6
2320,反,B7B4,53CD,E58F8D
2321,返,B7B5,8FD4,E8BF94
2322,范,B7B6,8303,E88C83
2323,贩,B7B7,8D29,E8B4A9
2324,犯,B7B8,72AF,E78AAF
